level_1,level_2,level_3,folder_path,duration,emissions,cpu_energy,gpu_energy,ram_energy,energy_consumed,emissions_rate,cpu_power,gpu_power,ram_power
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDTE-llama3.1-1.0-Test02,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-based Trustworthiness Evaluation\Llama3.1-8B\00-Query-Agent-RAG-WEB-MDTE-llama3.1-1.0-Test02\JSON,2.0161981,1.10E-05,2.37E-05,3.28E-06,6.26E-06,3.32E-05,5.55E-06,42.5,6.566601671,11.8768115
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDTE-llama3.1-1.0-Test03,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-based Trustworthiness Evaluation\Llama3.1-8B\00-Query-Agent-RAG-WEB-MDTE-llama3.1-1.0-Test03\JSON,2.839309,1.57E-05,3.34E-05,5.23E-06,8.90E-06,4.75E-05,8.00E-06,42.5,49.83975345,11.8768115
Mistral-Large,00-Query-Agent-MDTE-mistral-large-latest-0.0-Test01,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-based Trustworthiness Evaluation\Mistral-Large\00-Query-Agent-MDTE-mistral-large-latest-0.0-Test01\JSON,4.0832998,2.15E-05,4.66E-05,5.88E-06,1.26E-05,6.50E-05,5.41E-06,42.5,5.249979403,11.8768115
Mistral-Large,00-Query-Agent-MDTE-mistral-large-latest-0.0-Test02,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-based Trustworthiness Evaluation\Mistral-Large\00-Query-Agent-MDTE-mistral-large-latest-0.0-Test02\JSON,1.7287575,9.13E-06,2.03E-05,1.98E-06,5.39E-06,2.76E-05,7.28E-06,42.5,30.11092038,11.8768115
Mistral-Large,00-Query-Agent-MDTE-mistral-large-latest-0.0-Test03,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-based Trustworthiness Evaluation\Mistral-Large\00-Query-Agent-MDTE-mistral-large-latest-0.0-Test03\JSON,4.013973,2.14E-05,4.58E-05,6.45E-06,1.24E-05,6.47E-05,7.40E-06,42.5,31.37499003,11.8768115
Mistral-Large,00-Query-Agent-MDTE-mistral-large-latest-1.0-Test01,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-based Trustworthiness Evaluation\Mistral-Large\00-Query-Agent-MDTE-mistral-large-latest-1.0-Test01\JSON,3.6608752,2.47E-05,5.38E-05,6.21E-06,1.47E-05,7.47E-05,7.38E-06,42.5,14.0212448,11.8768115
Mistral-Large,00-Query-Agent-MDTE-mistral-large-latest-1.0-Test02,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-based Trustworthiness Evaluation\Mistral-Large\00-Query-Agent-MDTE-mistral-large-latest-1.0-Test02\JSON,3.7059874,2.10E-05,4.35E-05,8.19E-06,1.18E-05,6.35E-05,5.71E-06,42.5,4.628105904,11.8768115
Mistral-Large,00-Query-Agent-MDTE-mistral-large-latest-1.0-Test03,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-based Trustworthiness Evaluation\Mistral-Large\00-Query-Agent-MDTE-mistral-large-latest-1.0-Test03\JSON,4.1369086,2.32E-05,4.86E-05,8.29E-06,1.33E-05,7.02E-05,1.01E-05,42.5,71.24057122,11.8768115
Mistral-Large,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-0.0-Test01,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-based Trustworthiness Evaluation\Mistral-Large\00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-0.0-Test01\JSON,79.1705577,0.000445049,0.00092841,0.000161955,0.000255505,0.00134587,8.96E-06,42.5,49.39191706,11.8768115
Mistral-Large,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-0.0-Test02,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-based Trustworthiness Evaluation\Mistral-Large\00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-0.0-Test02\JSON,2.6206014,1.46E-05,3.08E-05,5.20E-06,8.23E-06,4.42E-05,1.26E-05,42.5,98.72560624,11.8768115
Mistral-Large,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-0.0-Test03,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-based Trustworthiness Evaluation\Mistral-Large\00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-0.0-Test03\JSON,2.6059381,1.43E-05,3.06E-05,5.20E-06,8.12E-06,4.39E-05,5.76E-06,42.5,38.9371868,11.8768115
Mistral-Large,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-1.0-Test01,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-based Trustworthiness Evaluation\Mistral-Large\00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-1.0-Test01\JSON,5.9511607,3.24E-05,6.76E-05,1.21E-05,1.83E-05,9.80E-05,9.62E-06,42.5,81.64455961,11.8768115
Mistral-Large,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-1.0-Test02,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-based Trustworthiness Evaluation\Mistral-Large\00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-1.0-Test02\JSON,2.9966709,1.50E-05,3.11E-05,5.93E-06,8.29E-06,4.53E-05,8.09E-06,42.5,40.89764059,11.8768115
Mistral-Large,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-1.0-Test03,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-based Trustworthiness Evaluation\Mistral-Large\00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-1.0-Test03\JSON,4.0926546,2.28E-05,4.70E-05,9.27E-06,1.27E-05,6.90E-05,1.09E-05,42.5,79.01454212,11.8768115
mixtral-8x7b,00-Query-Agent-MDTE-open-mixtral-8x7b-0.0-Test01,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-based Trustworthiness Evaluation\mixtral-8x7b\00-Query-Agent-MDTE-open-mixtral-8x7b-0.0-Test01\JSON,188.398859,0.001049655,0.002221551,0.000339412,0.000612905,0.003173868,5.57E-06,42.5,6.855675534,11.8768115
mixtral-8x7b,00-Query-Agent-MDTE-open-mixtral-8x7b-1.0-Test01,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-based Trustworthiness Evaluation\mixtral-8x7b\00-Query-Agent-MDTE-open-mixtral-8x7b-1.0-Test01\JSON,7.6973207,4.27E-05,9.06E-05,1.39E-05,2.47E-05,0.0001292,5.58E-06,42.5,6.87445253,11.8768115
mixtral-8x7b,00-Query-Agent-MDTE-open-mixtral-8x7b-1.0-Test02,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-based Trustworthiness Evaluation\mixtral-8x7b\00-Query-Agent-MDTE-open-mixtral-8x7b-1.0-Test02\JSON,6.3845877,3.55E-05,7.51E-05,1.20E-05,2.03E-05,0.000107428,8.09E-06,42.5,49.85374785,11.8768115
mixtral-8x7b,00-Query-Agent-MDTE-open-mixtral-8x7b-1.0-Test03,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-based Trustworthiness Evaluation\mixtral-8x7b\00-Query-Agent-MDTE-open-mixtral-8x7b-1.0-Test03\JSON,4.183041,2.32E-05,4.93E-05,7.54E-06,1.34E-05,7.02E-05,6.39E-06,42.5,22.82064811,11.8768115
mixtral-8x7b,00-Query-Agent-RAG-WEB-MDTE-open-mixtral-8x7b-0.0-Test01,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-based Trustworthiness Evaluation\mixtral-8x7b\00-Query-Agent-RAG-WEB-MDTE-open-mixtral-8x7b-0.0-Test01\JSON,18.4729692,0.000102305,0.000217629,3.30E-05,5.95E-05,0.000310109,7.65E-06,42.5,44.41650869,11.8768115
