level_1,level_2,level_3,folder_path,duration,emissions,cpu_energy,gpu_energy,ram_energy,energy_consumed,emissions_rate,cpu_power,gpu_power,ram_power
Gemma2-2b,00-Query-Agent-MDE-DTs-gemma2-2b-0.0-Test01,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-driven engineering for digital twins\Gemma2-2b\00-Query-Agent-MDE-DTs-gemma2-2b-0.0-Test01\JSON,5.840447900016443,3.611405640852195e-05,6.877107041687445e-05,2.1854184150349454e-05,1.8573689574074586e-05,0.0001091989441412985,6.300804178246574e-06,42.5,24.44614686246818,11.876811504364014
Gemma2-2b,00-Query-Agent-MDE-DTs-gemma2-2b-0.0-Test02,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-driven engineering for digital twins\Gemma2-2b\00-Query-Agent-MDE-DTs-gemma2-2b-0.0-Test02\JSON,6.038905699984753,3.572860514238401e-05,7.113224645814222e-05,1.7533902915811694e-05,1.9367296469284177e-05,0.00010803344584323809,6.006168153572813e-06,42.5,6.342746993704442,11.876811504364014
Gemma2-2b,00-Query-Agent-MDE-DTs-gemma2-2b-0.0-Test03,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-driven engineering for digital twins\Gemma2-2b\00-Query-Agent-MDE-DTs-gemma2-2b-0.0-Test03\JSON,5.012519700001576,2.9929818771151475e-05,5.884843013900535e-05,1.5590012472088688e-05,1.6061072901068816e-05,9.049951551216285e-05,5.998142656976208e-06,42.5,14.702173943769408,11.876811504364014
Gemma2-2b,00-Query-Agent-MDE-DTs-gemma2-2b-1.0-Test01,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-driven engineering for digital twins\Gemma2-2b\00-Query-Agent-MDE-DTs-gemma2-2b-1.0-Test01\JSON,12.479174600011902,7.620759334500911e-05,0.0001468763815972226,4.3545590392213285e-05,4.000876762863487e-05,0.00023043073961803964,9.02206143138119e-06,42.5,61.79837039994717,11.876811504364014
Gemma2-2b,00-Query-Agent-MDE-DTs-gemma2-2b-1.0-Test02,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-driven engineering for digital twins\Gemma2-2b\00-Query-Agent-MDE-DTs-gemma2-2b-1.0-Test02\JSON,5.328954199998407,3.308637976327792e-05,6.267920777765741e-05,2.032196070311798e-05,1.70429167013977e-05,0.0001000440851821731,7.822783646939332e-06,42.5,47.67352540917768,11.876811504364014
Gemma2-2b,00-Query-Agent-MDE-DTs-gemma2-2b-1.0-Test03,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-driven engineering for digital twins\Gemma2-2b\00-Query-Agent-MDE-DTs-gemma2-2b-1.0-Test03\JSON,30.346690700011095,0.00017188779109854357,0.00035781065798551483,6.349532857408136e-05,9.843527668753214e-05,0.0005197412632470255,8.620737994388526e-06,42.5,58.64767880568023,11.876811504364014
Gemma2-2b,00-Query-Agent-MDE-DTs-gemma2-2b-1.0-Test04,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-driven engineering for digital twins\Gemma2-2b\00-Query-Agent-MDE-DTs-gemma2-2b-1.0-Test04\JSON,8.816323000006378,5.420676263603036e-05,0.00010352209145806531,3.223558134468618e-05,2.8148623909342723e-05,0.0001639062967120809,7.547629732682982e-06,42.5,42.24035573829623,11.876811504364014
Gemma2-2b,00-Query-Agent-RAG-WEB-MDE-DTs-gemma2-2b-0.0-Test01,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-driven engineering for digital twins\Gemma2-2b\00-Query-Agent-RAG-WEB-MDE-DTs-gemma2-2b-0.0-Test01\JSON,6.564299799996661,3.631924128897528e-05,7.731406034769559e-05,1.1490842525496703e-05,2.101446374421371e-05,0.00010981936661740599,5.594631382949543e-06,42.5,6.790554441774877,11.876811504364014
Gemma2-2b,00-Query-Agent-RAG-WEB-MDE-DTs-gemma2-2b-0.0-Test02,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-driven engineering for digital twins\Gemma2-2b\00-Query-Agent-RAG-WEB-MDE-DTs-gemma2-2b-0.0-Test02\JSON,6.913593899997068,3.829094986042314e-05,8.139272159695692e-05,1.2396121027880014e-05,2.19924267963108e-05,0.00011578126942114773,7.010021910242001e-06,42.5,36.256783118509055,11.876811504364014
Gemma2-2b,00-Query-Agent-RAG-WEB-MDE-DTs-gemma2-2b-0.0-Test03,JSON,C:\Users\vitto\Desktop\repo\01 - Search String Evaluation\Model-driven engineering for digital twins\Gemma2-2b\00-Query-Agent-RAG-WEB-MDE-DTs-gemma2-2b-0.0-Test03\JSON,18.845605300040916,0.00010453873341500651,0.00022203827854231956,3.322502658109627e-05,6.083298662659613e-05,0.00031609629175007373,5.574061540022153e-06,42.5,7.097154505310497,11.876811504364014
