LLM,Test,Levenshtein,Cosine,Precision,Recall,F1,TP,FP,FN
Llama3.1-8B,00-Query-Agent-MDTE-llama3.1-1.0-Test01,0.14390602055800295,0.7227837284939671,0.8,0.00190885230255309,0.003808616995953344,16,4,8366
Llama3.1-8B,00-Query-Agent-MDTE-llama3.1-1.0-Test02,0.19193324061196107,0.7714323838400755,0.6111111111111112,0.0026246719160104987,0.005226894749346639,22,14,8360
Llama3.1-8B,00-Query-Agent-MDTE-llama3.1-1.0-Test03,0.07658321060382917,0.7537289043349685,0.7435897435897436,0.0034597947983774757,0.006887543047144045,29,10,8353
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDTE-llama3.1-0.0-Test01,0.028346456692913385,0.7898206902534353,0.2371517027863777,0.04569315199236459,0.07662298689606882,383,1232,7999
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDTE-llama3.1-0.0-Test02,0.021739130434782608,0.7851484950019214,0.5833333333333334,0.005010737294201861,0.0099361249112846,42,30,8340
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDTE-llama3.1-0.0-Test03,0.021739130434782608,0.7851484950019214,0.5833333333333334,0.005010737294201861,0.0099361249112846,42,30,8340
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDTE-llama3.1-1.0-Test01,0.021739130434782608,0.7851484950019214,0.5833333333333334,0.005010737294201861,0.0099361249112846,42,30,8340
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDTE-llama3.1-1.0-Test02,0.08668730650154799,0.7996634017907697,0.3181818181818182,0.01920782629444047,0.03622862286228624,161,345,8221
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDTE-llama3.1-1.0-Test03,0.08668730650154799,0.7996634017907697,0.3181818181818182,0.01920782629444047,0.03622862286228624,161,345,8221
Mistral-Large,00-Query-Agent-MDTE-mistral-large-latest-0.0-Test01,0.0711864406779661,0.6736262943095074,0.5,0.0035790980672870437,0.007107320540156361,30,30,8352
Mistral-Large,00-Query-Agent-MDTE-mistral-large-latest-0.0-Test02,0.13074204946996468,0.6475319445948811,0.48484848484848486,0.00190885230255309,0.0038027332144979203,16,17,8366
Mistral-Large,00-Query-Agent-MDTE-mistral-large-latest-0.0-Test03,0.0711864406779661,0.6736262943095074,0.5,0.0035790980672870437,0.007107320540156361,30,30,8352
Mistral-Large,00-Query-Agent-MDTE-mistral-large-latest-1.0-Test01,0.22140221402214022,0.6306545342299579,0.46875,0.0017895490336435219,0.003565486094604231,15,17,8367
Mistral-Large,00-Query-Agent-MDTE-mistral-large-latest-1.0-Test02,0.13074204946996468,0.6475319445948811,0.48484848484848486,0.00190885230255309,0.0038027332144979203,16,17,8366
Mistral-Large,00-Query-Agent-MDTE-mistral-large-latest-1.0-Test03,0.0711864406779661,0.6736262943095074,0.5,0.0035790980672870437,0.007107320540156361,30,30,8352
Mistral-Large,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-0.0-Test03,0.08668730650154799,0.7996634017907697,0.3181818181818182,0.01920782629444047,0.03622862286228624,161,345,8221
Mistral-Large,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-1.0-Test01,0.021739130434782608,0.7851484950019214,0.5833333333333334,0.005010737294201861,0.0099361249112846,42,30,8340
Mistral-Large,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-1.0-Test02,0.08668730650154799,0.7996634017907697,0.3181818181818182,0.01920782629444047,0.03622862286228624,161,345,8221
Mistral-Large,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-1.0-Test03,0.08668730650154799,0.7996634017907697,0.3181818181818182,0.01920782629444047,0.03622862286228624,161,345,8221
mixtral-8x7b,00-Query-Agent-MDTE-open-mixtral-8x7b-0.0-Test01,0.07368421052631578,0.6736262943095074,0.2,0.05607253638749702,0.08758852031308237,470,1880,7912
mixtral-8x7b,00-Query-Agent-MDTE-open-mixtral-8x7b-1.0-Test01,0.07368421052631578,0.6736262943095074,0.2,0.05607253638749702,0.08758852031308237,470,1880,7912
mixtral-8x7b,00-Query-Agent-MDTE-open-mixtral-8x7b-1.0-Test02,0.07368421052631578,0.6736262943095074,0.2,0.05607253638749702,0.08758852031308237,470,1880,7912
mixtral-8x7b,00-Query-Agent-MDTE-open-mixtral-8x7b-1.0-Test03,0.07368421052631578,0.6736262943095074,0.2,0.05607253638749702,0.08758852031308237,470,1880,7912
mixtral-8x7b,00-Query-Agent-RAG-WEB-MDTE-open-mixtral-8x7b-0.0-Test01,0.08668730650154799,0.7996634017907697,0.3181818181818182,0.01920782629444047,0.03622862286228624,161,345,8221
