LLM,Test,Levenshtein,Cosine,Precision,Recall,F1,TP,FP,FN
Gemma2-2b,00-Query-Agent-MDTE-gemma2-2b-0.0-Test01,0.01564945226917058,0.6173127537603071,0.6888888888888889,0.003698401336196612,0.007357303904117717,31,14,8351
Gemma2-2b,00-Query-Agent-MDTE-gemma2-2b-0.0-Test02,0.2873134328358209,0.4941162021896676,0.5196950444726811,0.048795036984013364,0.08921365470607483,409,378,7973
Gemma2-2b,00-Query-Agent-MDTE-gemma2-2b-0.0-Test03,0.2873134328358209,0.4941162021896676,0.5196950444726811,0.048795036984013364,0.08921365470607483,409,378,7973
Gemma2-2b,00-Query-Agent-MDTE-gemma2-2b-1.0-Test01,0.27106227106227104,0.36770826866570083,1.0,0.003101884991648771,0.006184586108468125,26,0,8356
Gemma2-2b,00-Query-Agent-MDTE-gemma2-2b-1.0-Test02,0.04416403785488959,0.6528615779149309,1.0,0.00011930326890956812,0.00023857807467493738,1,0,8381
Gemma2-2b,00-Query-Agent-MDTE-gemma2-2b-1.0-Test03,0.12991452991452992,0.5966225722773842,0.15384615384615385,0.00023860653781913624,0.0004764740917212627,2,11,8380
Gemma2-2b,00-Query-Agent-RAG-WEB-MDTE-gemma2-2b-0.0-Test01,0.021739130434782608,0.7851484950019214,0.5833333333333334,0.005010737294201861,0.0099361249112846,42,30,8340
Gemma2-2b,00-Query-Agent-RAG-WEB-MDTE-gemma2-2b-0.0-Test02,0.08668730650154799,0.7996634017907697,0.3181818181818182,0.01920782629444047,0.03622862286228624,161,345,8221
Gemma2-2b,00-Query-Agent-RAG-WEB-MDTE-gemma2-2b-0.0-Test03,0.021739130434782608,0.7851484950019214,0.5833333333333334,0.005010737294201861,0.0099361249112846,42,30,8340
Gemma2-2b,00-Query-Agent-RAG-WEB-MDTE-gemma2-2b-1.0-Test01,0.08668730650154799,0.7996634017907697,0.3181818181818182,0.01920782629444047,0.03622862286228624,161,345,8221
Gemma2-2b,00-Query-Agent-RAG-WEB-MDTE-gemma2-2b-1.0-Test02,0.08668730650154799,0.7996634017907697,0.3181818181818182,0.01920782629444047,0.03622862286228624,161,345,8221
Gemma2-2b,00-Query-Agent-RAG-WEB-MDTE-gemma2-2b-1.0-Test03,0.021739130434782608,0.7851484950019214,0.5833333333333334,0.005010737294201861,0.0099361249112846,42,30,8340
Llama3.1-8B,00-Query-Agent-MDTE-llama3.1-0.0-Test01,0.16477272727272727,0.7609892595062394,0.5779816513761468,0.007516105941302791,0.014839241549876338,63,46,8319
Llama3.1-8B,00-Query-Agent-MDTE-llama3.1-0.0-Test02,0.14344827586206896,0.7342890716391832,0.8402366863905325,0.016941064185158672,0.033212489767278676,142,27,8240
Llama3.1-8B,00-Query-Agent-MDTE-llama3.1-0.0-Test03,0.14344827586206896,0.7342890716391832,0.8402366863905325,0.016941064185158672,0.033212489767278676,142,27,8240
