LLM,Test,Levenshtein,Cosine,Precision,Recall,F1,TP,FP,FN
Gemma2-2b,00-Query-Agent-MDE-DTs-gemma2-2b-0.0-Test01,0.18055555555555555,0.6770968841051305,1.0,0.0013675213675213675,0.0027313076135199728,4,0,2921
Gemma2-2b,00-Query-Agent-MDE-DTs-gemma2-2b-0.0-Test02,0.18305084745762712,0.6902540424338763,0.9090909090909091,0.003418803418803419,0.006811989100817439,10,1,2915
Gemma2-2b,00-Query-Agent-MDE-DTs-gemma2-2b-0.0-Test03,0.18305084745762712,0.6902540424338763,0.9090909090909091,0.003418803418803419,0.006811989100817439,10,1,2915
Gemma2-2b,00-Query-Agent-MDE-DTs-gemma2-2b-1.0-Test01,0.4219409282700422,0.5340417954889581,1.0,0.0010256410256410256,0.0020491803278688526,3,0,2922
Gemma2-2b,00-Query-Agent-MDE-DTs-gemma2-2b-1.0-Test02,0.311787072243346,0.6096597707803384,0.4444444444444444,0.0013675213675213675,0.0027266530334014993,4,5,2921
Gemma2-2b,00-Query-Agent-MDE-DTs-gemma2-2b-1.0-Test03,0.09467455621301775,0.5407617443187634,0.8989441930618401,0.20376068376068376,0.33221850613154963,596,67,2329
Gemma2-2b,00-Query-Agent-MDE-DTs-gemma2-2b-1.0-Test04,0.15976331360946747,0.6475431428797653,0.9285714285714286,0.0044444444444444444,0.008846546444368834,13,1,2912
Gemma2-2b,00-Query-Agent-RAG-WEB-MDE-DTs-gemma2-2b-0.0-Test01,0.12371134020618557,0.5635266487520884,0.1,0.0006837606837606838,0.0013582342954159593,2,18,2923
Gemma2-2b,00-Query-Agent-RAG-WEB-MDE-DTs-gemma2-2b-0.0-Test02,0.12678936605316973,0.5330175351894865,0.04,0.0003418803418803419,0.0006779661016949153,1,24,2924
Gemma2-2b,00-Query-Agent-RAG-WEB-MDE-DTs-gemma2-2b-0.0-Test03,0.11645569620253164,0.517768498854225,0.05150214592274678,0.0041025641025641026,0.007599746675110829,12,221,2913
Gemma2-2b,00-Query-Agent-RAG-WEB-MDE-DTs-gemma2-2b-1.0-Test01,0.1477832512315271,0.5152719892504939,0.08333333333333333,0.0006837606837606838,0.0013563919972872161,2,22,2923
Gemma2-2b,00-Query-Agent-RAG-WEB-MDE-DTs-gemma2-2b-1.0-Test02,0.09467455621301775,0.5407617443187634,0.0,0.0,0.0,0,2,2925
Gemma2-2b,00-Query-Agent-RAG-WEB-MDE-DTs-gemma2-2b-1.0-Test03,0.15873015873015872,0.555888246610533,0.05660377358490566,0.0010256410256410256,0.0020147750167897917,3,50,2922
Llama3.1-8B,00-Query-Agent-MDE-DTs-llama3.1-0.0-Test02,0.13941018766756033,0.4947853903188336,0.5714285714285714,0.0013675213675213675,0.002728512960436562,4,3,2921
Llama3.1-8B,00-Query-Agent-MDE-DTs-llama3.1-0.0-Test03,0.13941018766756033,0.4947853903188336,0.5714285714285714,0.0013675213675213675,0.002728512960436562,4,3,2921
Llama3.1-8B,00-Query-Agent-MDE-DTs-llama3.1-1.0-Test01,0.17034700315457413,0.5238443036591247,0.0,0.0,0.0,0,78,2925
Llama3.1-8B,00-Query-Agent-MDE-DTs-llama3.1-1.0-Test02,0.15196078431372548,0.49877596624442005,0.0,0.0,0.0,0,5,2925
Llama3.1-8B,00-Query-Agent-MDE-DTs-llama3.1-1.0-Test03,0.18012422360248448,0.4928307974231596,0.10526315789473684,0.0006837606837606838,0.0013586956521739132,2,17,2923
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDE-DTs-llama3.1-0.0-Test01,0.13986013986013987,0.5033094400169972,0.1111111111111111,0.0006837606837606838,0.0013591573224600749,2,16,2923
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDE-DTs-llama3.1-0.0-Test02,0.09153318077803203,0.5469278457705729,0.03807615230460922,0.006495726495726496,0.011098130841121495,19,480,2906
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDE-DTs-llama3.1-0.0-Test03,0.08533333333333333,0.5507720680922468,0.02564102564102564,0.0010256410256410256,0.0019723865877712033,3,114,2922
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDE-DTs-llama3.1-1.0-Test01,0.09153318077803203,0.5634572697823164,0.03861788617886179,0.006495726495726496,0.011120866256950543,19,473,2906
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDE-DTs-llama3.1-1.0-Test02,0.12967581047381546,0.5560309216321152,0.25984251968503935,0.011282051282051283,0.02162516382699869,33,94,2892
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDE-DTs-llama3.1-1.0-Test03,0.1477832512315271,0.5152719892504939,0.08333333333333333,0.0006837606837606838,0.0013563919972872161,2,22,2923
Llama3.2-3B,00-Query-Agent-MDE-DTs-llama3.2-3b-0.0-Test01,0.24390243902439024,0.6825657802693263,0.9444444444444444,0.005811965811965812,0.011552837240910635,17,1,2908
Llama3.2-3B,00-Query-Agent-MDE-DTs-llama3.2-3b-0.0-Test02,0.24390243902439024,0.6825657802693263,0.9444444444444444,0.005811965811965812,0.011552837240910635,17,1,2908
Llama3.2-3B,00-Query-Agent-MDE-DTs-llama3.2-3b-0.0-Test03,0.24390243902439024,0.6825657802693263,0.9444444444444444,0.005811965811965812,0.011552837240910635,17,1,2908
Llama3.2-3B,00-Query-Agent-MDE-DTs-llama3.2-3b-1.0-Test01,0.12834224598930483,0.5477701109913864,0.47058823529411764,0.00547008547008547,0.010814464346062858,16,18,2909
