LLM,Test,Levenshtein,Cosine,Precision,Recall,F1,TP,FP,FN
Llama3.2-3B,00-Query-Agent-MDE-DTs-llama3.2-3b-1.0-Test02,0.14790996784565916,0.6277321975634402,0.6062992125984252,0.07897435897435898,0.1397459165154265,231,150,2694
Llama3.2-3B,00-Query-Agent-MDE-DTs-llama3.2-3b-1.0-Test03,0.14067278287461774,0.5249026887706739,0.6368715083798883,0.038974358974358976,0.07345360824742268,114,65,2811
Llama3.2-3B,00-Query-Agent-RAG-WEB-MDE-DTs-llama3.2-3b-0.0-Test01,0.07142857142857142,0.5105664328456926,0.0,0.0,0.0,0,2,2925
Llama3.2-3B,00-Query-Agent-RAG-WEB-MDE-DTs-llama3.2-3b-0.0-Test02,0.12776412776412777,0.5439769719326755,0.1978021978021978,0.006153846153846154,0.011936339522546418,18,73,2907
Llama3.2-3B,00-Query-Agent-RAG-WEB-MDE-DTs-llama3.2-3b-0.0-Test03,0.1477832512315271,0.5152719892504939,0.08333333333333333,0.0006837606837606838,0.0013563919972872161,2,22,2923
Llama3.2-3B,00-Query-Agent-RAG-WEB-MDE-DTs-llama3.2-3b-1.0-Test01,0.1477832512315271,0.5152719892504939,0.08333333333333333,0.0006837606837606838,0.0013563919972872161,2,22,2923
Llama3.2-3B,00-Query-Agent-RAG-WEB-MDE-DTs-llama3.2-3b-1.0-Test02,0.1477832512315271,0.5152719892504939,0.08333333333333333,0.0006837606837606838,0.0013563919972872161,2,22,2923
Llama3.2-3B,00-Query-Agent-RAG-WEB-MDE-DTs-llama3.2-3b-1.0-Test03,0.12967581047381546,0.5560309216321152,0.25984251968503935,0.011282051282051283,0.02162516382699869,33,94,2892
Mistral-Large,00-Query-Agent-MDE-DTs-mistral-large-latest-0.0-Test01,0.38247011952191234,0.7287181424274409,0.9247311827956989,0.26461538461538464,0.4114832535885168,774,63,2151
Mistral-Large,00-Query-Agent-MDE-DTs-mistral-large-latest-0.0-Test02,0.3843137254901961,0.7196286184635396,0.9294117647058824,0.21606837606837606,0.35062413314840496,632,48,2293
Mistral-Large,00-Query-Agent-MDE-DTs-mistral-large-latest-0.0-Test03,0.38132295719844356,0.7024254328720279,0.9293078055964654,0.21572649572649572,0.3501664816870144,631,48,2294
Mistral-Large,00-Query-Agent-MDE-DTs-mistral-large-latest-1.0-Test01,0.24305555555555555,0.6603430317986426,0.5957634598411298,0.23076923076923078,0.33267619517003455,675,458,2250
Mistral-Large,00-Query-Agent-MDE-DTs-mistral-large-latest-1.0-Test02,0.3843137254901961,0.7381610278922912,0.9090909090909091,0.003418803418803419,0.006811989100817439,10,1,2915
Mistral-Large,00-Query-Agent-MDE-DTs-mistral-large-latest-1.0-Test03,0.3684210526315789,0.6639745022338279,0.8492791612057667,0.22153846153846155,0.351409978308026,648,115,2277
Mistral-Large,00-Query-Agent-RAG-WEB-MDE-DTs-mistral-large-latest-0.0-Test01,0.0945945945945946,0.3509919363623942,0.26666666666666666,0.006837606837606838,0.013333333333333334,20,55,2905
Mistral-Large,00-Query-Agent-RAG-WEB-MDE-DTs-mistral-large-latest-0.0-Test02,0.0449438202247191,0.3509919363623942,0.0,0.0,0.0,0,10,2925
Mistral-Large,00-Query-Agent-RAG-WEB-MDE-DTs-mistral-large-latest-0.0-Test03,0.0449438202247191,0.3509919363623942,0.0,0.0,0.0,0,10,2925
Mistral-Large,00-Query-Agent-RAG-WEB-MDE-DTs-mistral-large-latest-1.0-Test01,0.124,0.5051733332812319,0.047619047619047616,0.0003418803418803419,0.0006788866259334692,1,20,2924
Mistral-Large,00-Query-Agent-RAG-WEB-MDE-DTs-mistral-large-latest-1.0-Test02,0.12776412776412777,0.5439769719326755,0.1978021978021978,0.006153846153846154,0.011936339522546418,18,73,2907
Mistral-Large,00-Query-Agent-RAG-WEB-MDE-DTs-mistral-large-latest-1.0-Test03,0.09153318077803203,0.5634572697823164,0.03861788617886179,0.006495726495726496,0.011120866256950543,19,473,2906
