LLM,Test,Levenshtein,Cosine,Precision,Recall,F1,TP,FP,FN
Gemma2-2b,00-Query-Agent-MDTE-gemma2-2b-0.0-Test01,0.10104529616724739,0.61944061648343,0.017857142857142856,0.0006950880444856349,0.0013380909901873328,3,165,4313
Gemma2-2b,00-Query-Agent-MDTE-gemma2-2b-0.0-Test02,0.10034602076124567,0.61944061648343,0.021739130434782608,0.0006950880444856349,0.001347103726986978,3,135,4313
Gemma2-2b,00-Query-Agent-MDTE-gemma2-2b-0.0-Test03,0.10034602076124567,0.61944061648343,0.021739130434782608,0.0006950880444856349,0.001347103726986978,3,135,4313
Gemma2-2b,00-Query-Agent-MDTE-gemma2-2b-1.0-Test01,0.029850746268656716,0.5321666108923879,0.028037383177570093,0.0027803521779425394,0.00505902192242833,12,416,4304
Gemma2-2b,00-Query-Agent-MDTE-gemma2-2b-1.0-Test02,0.08368200836820083,0.5643118244112872,0.008438818565400843,0.0004633920296570899,0.0008785416209092906,2,235,4314
Gemma2-2b,00-Query-Agent-MDTE-gemma2-2b-1.0-Test03,0.04230769230769231,0.6593260201139899,0.006934812760055479,0.0011584800741427247,0.001985308715505261,5,716,4311
Gemma2-2b,00-Query-Agent-RAG-WEB-MDTE-gemma2-2b-0.0-Test01,0.05198358413132695,0.7072637575312519,0.0,0.0,0.0,0,36,4316
Gemma2-2b,00-Query-Agent-RAG-WEB-MDTE-gemma2-2b-0.0-Test02,0.051075268817204304,0.7058079440549044,0.0,0.0,0.0,0,6,4316
Gemma2-2b,00-Query-Agent-RAG-WEB-MDTE-gemma2-2b-0.0-Test03,0.05454545454545454,0.7223214650570609,0.0,0.0,0.0,0,83,4316
Gemma2-2b,00-Query-Agent-RAG-WEB-MDTE-gemma2-2b-1.0-Test01,0.0650994575045208,0.7431292514887959,0.024691358024691357,0.0009267840593141798,0.0017865118356409112,4,158,4312
Gemma2-2b,00-Query-Agent-RAG-WEB-MDTE-gemma2-2b-1.0-Test02,0.053973013493253376,0.728535598410065,0.0,0.0,0.0,0,87,4316
Gemma2-2b,00-Query-Agent-RAG-WEB-MDTE-gemma2-2b-1.0-Test03,0.05234159779614325,0.725312918865797,0.021052631578947368,0.0004633920296570899,0.0009068238494672411,2,93,4314
Llama3.1-8B,00-Query-Agent-MDTE-llama3.1-0.0-Test01,0.050383351588170866,0.7045748442446955,0.0,0.0,0.0,0,95,4316
Llama3.1-8B,00-Query-Agent-MDTE-llama3.1-0.0-Test02,0.16565656565656567,0.7301768868403878,0.013986013986013986,0.0018535681186283596,0.0032733224222585926,8,564,4308
Llama3.1-8B,00-Query-Agent-MDTE-llama3.1-0.0-Test03,0.16565656565656567,0.7301768868403878,0.013986013986013986,0.0018535681186283596,0.0032733224222585926,8,564,4308
Llama3.1-8B,00-Query-Agent-MDTE-llama3.1-1.0-Test01,0.1696969696969697,0.7381747492866202,0.008547008547008548,0.0009267840593141798,0.001672240802675585,4,464,4312
Llama3.1-8B,00-Query-Agent-MDTE-llama3.1-1.0-Test02,0.1696969696969697,0.7381747492866202,0.008547008547008548,0.0009267840593141798,0.001672240802675585,4,464,4312
Llama3.1-8B,00-Query-Agent-MDTE-llama3.1-1.0-Test03,0.16565656565656567,0.7301768868403878,0.013986013986013986,0.0018535681186283596,0.0032733224222585926,8,564,4308
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDTE-llama3.1-0.0-Test01,0.07339449541284404,0.7025051959905143,0.014925373134328358,0.0004633920296570899,0.0008988764044943821,2,132,4314
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDTE-llama3.1-0.0-Test02,0.16565656565656567,0.7301768868403878,0.014925373134328358,0.0004633920296570899,0.0008988764044943821,2,132,4314
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDTE-llama3.1-0.0-Test03,0.07339449541284404,0.7025051959905143,0.014925373134328358,0.0004633920296570899,0.0008988764044943821,2,132,4314
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDTE-llama3.1-1.0-Test01,0.0420353982300885,0.6938221438298082,0.0,0.0,0.0,0,3,4316
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDTE-llama3.1-1.0-Test02,0.07339449541284404,0.7025051959905143,0.014925373134328358,0.0004633920296570899,0.0008988764044943821,2,132,4314
Llama3.1-8B,00-Query-Agent-RAG-WEB-MDTE-llama3.1-1.0-Test03,0.07339449541284404,0.7025051959905143,0.014925373134328358,0.0004633920296570899,0.0008988764044943821,2,132,4314
Mistral-Large,00-Query-Agent-MDTE-mistral-large-latest-0.0-Test01,0.1696969696969697,0.7381747492866202,0.008547008547008548,0.0009267840593141798,0.001672240802675585,4,464,4312
Mistral-Large,00-Query-Agent-MDTE-mistral-large-latest-0.0-Test02,0.1696969696969697,0.7381747492866202,0.008547008547008548,0.0009267840593141798,0.001672240802675585,4,464,4312
Mistral-Large,00-Query-Agent-MDTE-mistral-large-latest-0.0-Test03,0.1696969696969697,0.7381747492866202,0.008547008547008548,0.0009267840593141798,0.001672240802675585,4,464,4312
Mistral-Large,00-Query-Agent-MDTE-mistral-large-latest-1.0-Test01,0.1696969696969697,0.7381747492866202,0.020689655172413793,0.0013901760889712697,0.0026052974381241857,6,284,4310
Mistral-Large,00-Query-Agent-MDTE-mistral-large-latest-1.0-Test02,0.1696969696969697,0.7381747492866202,0.008547008547008548,0.0009267840593141798,0.001672240802675585,4,464,4312
Mistral-Large,00-Query-Agent-MDTE-mistral-large-latest-1.0-Test03,0.1696969696969697,0.7381747492866202,0.008547008547008548,0.0009267840593141798,0.001672240802675585,4,464,4312
Mistral-Large,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-0.0,0.0420353982300885,0.6938221438298082,0.0,0.0,0.0,0,3,4316
Mistral-Large,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-0.0-Test01,0.053418803418803416,0.686083799541005,0.0,0.0,0.0,0,3,4316
Mistral-Large,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-0.0-Test02,0.0420353982300885,0.6938221438298082,0.0,0.0,0.0,0,3,4316
Mistral-Large,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-1.0-Test01,0.05405405405405406,0.6886344075419562,0.0,0.0,0.0,0,3,4316
Mistral-Large,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-1.0-Test02,0.05405405405405406,0.6886344075419562,0.0,0.0,0.0,0,3,4316
Mistral-Large,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-1.0-Test03,0.05387931034482758,0.6886344075419559,0.0,0.0,0.0,0,1,4316
mixtral-8x7b,00-Query-Agent-MDTE-open-mixtral-8x7b-0.0-Test01,0.1696969696969697,0.7381747492866202,0.008547008547008548,0.0009267840593141798,0.001672240802675585,4,464,4312
mixtral-8x7b,00-Query-Agent-MDTE-open-mixtral-8x7b-0.0-Test02,0.16565656565656567,0.7301768868403878,0.013986013986013986,0.0018535681186283596,0.0032733224222585926,8,564,4308
mixtral-8x7b,00-Query-Agent-MDTE-open-mixtral-8x7b-0.0-Test03,0.16565656565656567,0.7301768868403878,0.013986013986013986,0.0018535681186283596,0.0032733224222585926,8,564,4308
mixtral-8x7b,00-Query-Agent-MDTE-open-mixtral-8x7b-1.0-Test01,0.1696969696969697,0.7381747492866202,0.020689655172413793,0.0013901760889712697,0.0026052974381241857,6,284,4310
mixtral-8x7b,00-Query-Agent-MDTE-open-mixtral-8x7b-1.0-Test02,0.1696969696969697,0.7381747492866202,0.020689655172413793,0.0013901760889712697,0.0026052974381241857,6,284,4310
