LLM,Target,Test,Levenshtein,Cosine,Precision,Recall,F1,TP,FP,FN
Llama3.1-8B,LL31-R-1,00-Query-Agent-RAG-WEB-MDE-DTs-llama3.1-1.0-Test03,0.147783251,0.515271989,0.083333333,0.000683761,0.001356392,2,22,2923
Mistral-Large,ML-0,00-Query-Agent-MDTE-mistral-large-latest-0.0-Test01,0.16969697,0.738174749,0.008547009,0.000926784,0.001672241,4,464,4312
Mistral-Large,ML-0,00-Query-Agent-MDTE-mistral-large-latest-0.0-Test02,0.16969697,0.738174749,0.008547009,0.000926784,0.001672241,4,464,4312
Mistral-Large,ML-0,00-Query-Agent-MDTE-mistral-large-latest-0.0-Test03,0.16969697,0.738174749,0.008547009,0.000926784,0.001672241,4,464,4312
Mistral-Large,ML-0,00-Query-Agent-MDTE-mistral-large-latest-0.0-Test01,0.071186441,0.673626294,0.5,0.003579098,0.007107321,30,30,8352
Mistral-Large,ML-0,00-Query-Agent-MDTE-mistral-large-latest-0.0-Test02,0.130742049,0.647531945,0.484848485,0.001908852,0.003802733,16,17,8366
Mistral-Large,ML-0,00-Query-Agent-MDTE-mistral-large-latest-0.0-Test03,0.071186441,0.673626294,0.5,0.003579098,0.007107321,30,30,8352
Mistral-Large,ML-0,00-Query-Agent-MDE-DTs-mistral-large-latest-0.0-Test01,0.38247012,0.728718142,0.924731183,0.264615385,0.411483254,774,63,2151
Mistral-Large,ML-0,00-Query-Agent-MDE-DTs-mistral-large-latest-0.0-Test02,0.384313725,0.719628618,0.929411765,0.216068376,0.350624133,632,48,2293
Mistral-Large,ML-0,00-Query-Agent-MDE-DTs-mistral-large-latest-0.0-Test03,0.381322957,0.702425433,0.929307806,0.215726496,0.350166482,631,48,2294
Mistral-Large,ML-1,00-Query-Agent-MDTE-mistral-large-latest-1.0-Test01,0.16969697,0.738174749,0.020689655,0.001390176,0.002605297,6,284,4310
Mistral-Large,ML-1,00-Query-Agent-MDTE-mistral-large-latest-1.0-Test02,0.16969697,0.738174749,0.008547009,0.000926784,0.001672241,4,464,4312
Mistral-Large,ML-1,00-Query-Agent-MDTE-mistral-large-latest-1.0-Test03,0.16969697,0.738174749,0.008547009,0.000926784,0.001672241,4,464,4312
Mistral-Large,ML-1,00-Query-Agent-MDTE-mistral-large-latest-1.0-Test01,0.221402214,0.630654534,0.46875,0.001789549,0.003565486,15,17,8367
Mistral-Large,ML-1,00-Query-Agent-MDTE-mistral-large-latest-1.0-Test02,0.130742049,0.647531945,0.484848485,0.001908852,0.003802733,16,17,8366
Mistral-Large,ML-1,00-Query-Agent-MDTE-mistral-large-latest-1.0-Test03,0.071186441,0.673626294,0.5,0.003579098,0.007107321,30,30,8352
Mistral-Large,ML-1,00-Query-Agent-MDE-DTs-mistral-large-latest-1.0-Test01,0.243055556,0.660343032,0.59576346,0.230769231,0.332676195,675,458,2250
Mistral-Large,ML-1,00-Query-Agent-MDE-DTs-mistral-large-latest-1.0-Test02,0.384313725,0.738161028,0.909090909,0.003418803,0.006811989,10,1,2915
Mistral-Large,ML-1,00-Query-Agent-MDE-DTs-mistral-large-latest-1.0-Test03,0.368421053,0.663974502,0.849279161,0.221538462,0.351409978,648,115,2277
Mistral-Large,ML-R-0,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-0.0-Test03,0.042035398,0.693822144,0,0,0,0,3,4316
Mistral-Large,ML-R-0,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-0.0-Test01,0.053418803,0.6860838,0,0,0,0,3,4316
Mistral-Large,ML-R-0,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-0.0-Test02,0.042035398,0.693822144,0,0,0,0,3,4316
Mistral-Large,ML-R-0,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-0.0-Test03,0.086687307,0.799663402,0.318181818,0.019207826,0.036228623,161,345,8221
Mistral-Large,ML-R-0,00-Query-Agent-RAG-WEB-MDE-DTs-mistral-large-latest-0.0-Test01,0.094594595,0.350991936,0.266666667,0.006837607,0.013333333,20,55,2905
Mistral-Large,ML-R-0,00-Query-Agent-RAG-WEB-MDE-DTs-mistral-large-latest-0.0-Test02,0.04494382,0.350991936,0,0,0,0,10,2925
Mistral-Large,ML-R-0,00-Query-Agent-RAG-WEB-MDE-DTs-mistral-large-latest-0.0-Test03,0.04494382,0.350991936,0,0,0,0,10,2925
Mistral-Large,ML-R-1,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-1.0-Test01,0.054054054,0.688634408,0,0,0,0,3,4316
Mistral-Large,ML-R-1,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-1.0-Test02,0.054054054,0.688634408,0,0,0,0,3,4316
Mistral-Large,ML-R-1,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-1.0-Test03,0.05387931,0.688634408,0,0,0,0,1,4316
Mistral-Large,ML-R-1,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-1.0-Test01,0.02173913,0.785148495,0.583333333,0.005010737,0.009936125,42,30,8340
Mistral-Large,ML-R-1,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-1.0-Test02,0.086687307,0.799663402,0.318181818,0.019207826,0.036228623,161,345,8221
Mistral-Large,ML-R-1,00-Query-Agent-RAG-WEB-MDTE-mistral-large-latest-1.0-Test03,0.086687307,0.799663402,0.318181818,0.019207826,0.036228623,161,345,8221
Mistral-Large,ML-R-1,00-Query-Agent-RAG-WEB-MDE-DTs-mistral-large-latest-1.0-Test01,0.124,0.505173333,0.047619048,0.00034188,0.000678887,1,20,2924
Mistral-Large,ML-R-1,00-Query-Agent-RAG-WEB-MDE-DTs-mistral-large-latest-1.0-Test02,0.127764128,0.543976972,0.197802198,0.006153846,0.01193634,18,73,2907
Mistral-Large,ML-R-1,00-Query-Agent-RAG-WEB-MDE-DTs-mistral-large-latest-1.0-Test03,0.091533181,0.56345727,0.038617886,0.006495726,0.011120866,19,473,2906
mixtral-8x7b,M8-0,00-Query-Agent-MDTE-open-mixtral-8x7b-0.0-Test01,0.16969697,0.738174749,0.008547009,0.000926784,0.001672241,4,464,4312
mixtral-8x7b,M8-0,00-Query-Agent-MDTE-open-mixtral-8x7b-0.0-Test02,0.165656566,0.730176887,0.013986014,0.001853568,0.003273322,8,564,4308
mixtral-8x7b,M8-0,00-Query-Agent-MDTE-open-mixtral-8x7b-0.0-Test03,0.165656566,0.730176887,0.013986014,0.001853568,0.003273322,8,564,4308
mixtral-8x7b,M8-0,00-Query-Agent-MDTE-open-mixtral-8x7b-0.0-Test01,0.073684211,0.673626294,0.2,0.056072536,0.08758852,470,1880,7912
mixtral-8x7b,M8-1,00-Query-Agent-MDTE-open-mixtral-8x7b-1.0-Test01,0.16969697,0.738174749,0.020689655,0.001390176,0.002605297,6,284,4310
mixtral-8x7b,M8-1,00-Query-Agent-MDTE-open-mixtral-8x7b-1.0-Test02,0.16969697,0.738174749,0.020689655,0.001390176,0.002605297,6,284,4310
mixtral-8x7b,M8-1,00-Query-Agent-MDTE-open-mixtral-8x7b-1.0-Test03,0.165656566,0.730176887,0.013986014,0.001853568,0.003273322,8,564,4308
mixtral-8x7b,M8-1,00-Query-Agent-MDTE-open-mixtral-8x7b-1.0-Test01,0.073684211,0.673626294,0.2,0.056072536,0.08758852,470,1880,7912
mixtral-8x7b,M8-1,00-Query-Agent-MDTE-open-mixtral-8x7b-1.0-Test02,0.073684211,0.673626294,0.2,0.056072536,0.08758852,470,1880,7912
mixtral-8x7b,M8-1,00-Query-Agent-MDTE-open-mixtral-8x7b-1.0-Test03,0.073684211,0.673626294,0.2,0.056072536,0.08758852,470,1880,7912
mixtral-8x7b,M8-R-0,00-Query-Agent-RAG-WEB-MDTE-open-mixtral-8x7b-0.0,0.044776119,0.686118621,0.007843137,0.000463392,0.000875082,2,253,4314
mixtral-8x7b,M8-R-0,00-Query-Agent-RAG-WEB-MDTE-open-mixtral-8x7b-0.0-Test01,0.055045872,0.702505196,0.014925373,0.000463392,0.000898876,2,132,4314
mixtral-8x7b,M8-R-0,00-Query-Agent-RAG-WEB-MDTE-open-mixtral-8x7b-0.0-Test02,0.055045872,0.702505196,0.014925373,0.000463392,0.000898876,2,132,4314
mixtral-8x7b,M8-R-0,00-Query-Agent-RAG-WEB-MDTE-open-mixtral-8x7b-0.0-Test01,0.086687307,0.799663402,0.318181818,0.019207826,0.036228623,161,345,8221
mixtral-8x7b,M8-R-1,00-Query-Agent-RAG-WEB-MDTE-open-mixtral-8x7b-1.0-Test02,0.055045872,0.702505196,0.014925373,0.000463392,0.000898876,2,132,4314
mixtral-8x7b,M8-R-1,00-Query-Agent-RAG-WEB-MDTE-open-mixtral-8x7b-1.0-Test03,0.055045872,0.702505196,0.014925373,0.000463392,0.000898876,2,132,4314
